Question,Correct,Your Answer,Result,Topic,Difficulty
1,0,1,Incorrect,"Clause Organization / Subordination, Passage i",1
2,1,2,Incorrect,"Fragment, Passage i",2
3,1,0,Incorrect,"Clause Organization / Subordination, No",2
4,2,0,Incorrect,"Clear & Concise Writing, No Change, Passage i",3
5,3,2,Incorrect,"Content, Passage i",4
6,3,2,Incorrect,"Possessive / Plural, Passage i",4
7,2,3,Incorrect,"Punctuation, Passage i",3
8,2,0,Incorrect,"Content, No Change, Passage i",3
9,2,3,Incorrect,"Clear & Concise Writing, Passage i",3
10,1,3,Incorrect,"Idioms & Word Choice, Passage i",2
11,2,1,Incorrect,"Passage i, Conjunctions",3
12,3,3,Correct,"Modifiers & Modification, Passage i",4
13,2,0,Incorrect,"Verb Tense / Form, Passage i",3
14,2,3,Incorrect,"Verb Tense / Form, Passage i",3
15,3,3,Correct,"Content, Passage i",5
16,2,2,Correct,"Punctuation, Passage ii",3
17,0,0,Correct,"Verb Tense / Form, Passage ii",1
18,1,2,Incorrect,"Punctuation, Passage ii",2
19,3,0,Incorrect,"Adverb / Adjective Confusion, Passage ii",4
20,2,2,Correct,"Clear & Concise Writing, Passage ii",3
21,3,0,Incorrect,"Paragraph Organization, Passage ii",4
22,1,1,Correct,"Verb Tense / Form, No Change, Passage ii",2
23,2,3,Incorrect,"Content, Passage ii",3
24,3,0,Incorrect,"Content, Passage ii",4
25,3,2,Incorrect,"Comparisons & Parallelism, Passage ii",4
26,2,3,Incorrect,"Content, Passage ii",3
27,1,1,Correct,"Fragment, Passage ii",2
28,2,3,Incorrect,"Clear & Concise Writing, Passage ii",3
29,3,0,Incorrect,"Comparisons & Parallelism, Passage ii",4
30,3,1,Incorrect,"Clause Organization / Subordination, Passage",5
31,1,3,Incorrect,"Possessive / Plural, Passage iii",2
32,3,0,Incorrect,"Punctuation, Passage iii",4
33,1,0,Incorrect,"Content, Passage iii",2
34,2,1,Incorrect,"Modifiers & Modification, No Change, Passage",3
